studbook_id,slug,wiki_born,wiki_died,isb_birth,isb_birth_norm,isb_approx,isb_sex,isb_taxon,isb_name,isb_sire,isb_dam,isb_death
0878,kei-kei-2008,2008,"""?""",31 Jul 2008,2008-07-31,False,M,styani,KEI-KEI,9998,9992,
0879,ai-ai-2008,2008,"""?""",31 Jul 2008,2008-07-31,False,F,styani,AI-AI,9998,9992,
8534,i-i-nagano,,1990-03-19,~ 1983,1983,True,M,styani,JAZGA,WILD,WILD,1990-03-19
8536,mi-mi-1985-06-12,1985-06-12,2003-06-11,12 Jun 1985,1985-06-12,False,F,styani,JAZGA,UNK,8535,2003-06-11
8626,lili-1986-07-05,1986-07-05,1995-10-24,5 Jul 1986,1986-07-05,False,F,styani,JAZGA,8528,8426,2005-12-12
8627,rin-rin-1986-07-05,1986-07-05,2006-03-17,5 Jul 1986,1986-07-05,False,F,styani,JAZGA,8528,8426,1995-10-24
8639,shin-shin-1986,1986,1994-11-01,~ 1984,1984,True,M,styani,JAZGA,WILD,WILD,1994-11-01
8640,sei-sei-1986,1986,2000-09-07,~ 1984,1984,True,F,styani,JAZGA,WILD,WILD,2000-09-07
8713,you-you-1987-07-26,1987-07-26,2007-11-23,26 Jul 1987,1987-07-26,False,M,styani,YOUYOU,8528,8427,2007-11-23
8714,ran-ran-1987-07-26,1987-07-26,2009-06-03,26 Jul 1987,1987-07-26,False,F,styani,RAN-RAN,8528,8427,
8752,yuu-yuu-1987-05-31,1987-05-31,2007-12-19,31 May 1987,1987-05-31,False,M,styani,YUU-YUU,8534,8535,2007-12-19
8753,ai-ai-1987-05-31,1987-05-31,2003-05-13,31 May 1987,1987-05-31,False,F,styani,JAZGA,8534,8535,2003-05-13
8840,rei-1988-06-17,1988-06-17,2008-01-19,17 Jun 1988,1988-06-17,False,F,styani,REI,8534,8535,2008-01-19
8842,kou-kou-1988-06-22,1988-06-22,2008-01-22,22 Jun 1988,1988-06-22,False,M,styani,KOU-KOU,8017,8018,2008-01-22
8844,shin-shin-1988-07-14,1988-07-14,2003-06-15,13 Jul 1988,1988-07-13,False,F,styani,SHIN-SHIN JAZGA,8749,8751,2003-06-15
8845,mu-mu-1988-07-14,1988-07-14,1998-01-03,13 Jul 1988,1988-07-13,False,F,styani,JAZGA,8749,8751,1998-01-03
8915,ten-ten-1989-06-26,1989-06-26,2004-01-30,26 Jun 1989,1989-06-26,False,F,styani,JAZGA,8752,8714,2004-01-30
8916,sui-sui-1989-06-29,1989-06-29,1991-11-08,29 Jun 1989,1989-06-29,False,M,styani,SUI-SUI,8752,8628,1991-11-08
8917,chii-chii-1989-06-30,1989-06-30,1995-12-15,30 Jun 1989,1989-06-30,False,M,styani,JAZGA,8752,8627,1995-12-15
8920,genki-1989-06-30,1989-06-30,1995-09-13,30 Jun 1989,1989-06-30,False,M,styani,GENKI,8534,8535,1995-09-13
8922,rin-rin-1989-06-21,1989-06-21,2007-07-30,21 Jun 1989,1989-06-21,False,F,styani,JAZGA,8639,8640,2007-07-30
8924,pin-pin-1989-06-28,1989-06-28,2008-01-05,28 Jun 1989,1989-06-28,False,M,styani,PIN-PIN,8856,8857,2008-01-05
8925,tarou-1989-07-01,1989-07-01,2009-10-25,1 Jul 1989,1989-07-01,False,M,styani,JAZGA,8713,8753,
8926,aiko-1989-07-01,1989-07-01,2001-01-19,1 Jul 1989,1989-07-01,False,F,styani,JAZGA,8713,8753,2001-01-19
8929,tom-1986,1986,1998-08-02,~ 1987,1987,True,M,styani,TOM,WILD,WILD,1998-08-02
8935,taisyu-1989,1989,2001-11-16,~ 1987,1987,True,M,styani,JAZGA,WILD,WILD,2001-11-16
